'Elapsed time','Abdomen_2'
0.563,-4.2
0.564,-5.4
0.565,-6.6
0.566,-7.6
0.567,-8.4
0.568,-9
0.569,-9
0.57,-8.6
0.571,-8
0.572,-7.4
0.573,-7.1
0.574,-7.4
0.575,-8.1
0.576,-9
0.577,-9.9
0.578,-10.5
0.579,-10.8
0.58,-10.7
0.581,-10.1
0.582,-9.3
0.583,-8.5
0.584,-8
0.585,-7.9
0.586,-8.1
0.587,-8.2
0.588,-8.2
0.589,-7.9
0.59,-7.4
0.591,-7
0.592,-6.9
0.593,-6.9
0.594,-7
0.595,-6.9
0.596,-6.6
0.597,-6.2
0.598,-5.8
0.599,-5.6
0.6,-5.4
0.601,-5.2
0.602,-5.1
0.603,-5.1
0.604,-5.3
0.605,-5.8
0.606,-6.4
0.607,-6.8
0.608,-6.8
0.609,-6.4
0.61,-6.1
0.611,-6
0.612,-6.5
0.613,-7.2
0.614,-7.7
0.615,-7.8
0.616,-7.3
0.617,-6.6
0.618,-6.1
0.619,-6.1
0.62,-6.2
0.621,-6.3
0.622,-6.1
0.623,-5.5
0.624,-4.8
0.625,-4.1
0.626,-3.6
0.627,-3.3
0.628,-3.1
0.629,-3.1
0.63,-3.7
0.631,-4.9
0.632,-6.6
0.633,-8.4
0.634,-9.5
0.635,-9.6
0.636,-8.6
0.637,-6.8
0.638,-5
0.639,-3.6
0.64,-2.5
0.641,-1.5
0.642,0.1
0.643,2.9
0.644,6.9
0.645,11.7
0.646,16.3
0.647,19.6
0.648,20.7
0.649,19.7
0.65,17
0.651,13.6
0.652,10.5
0.653,8.1
0.654,6.3
0.655,4.6
0.656,2.7
0.657,0.4
0.658,-2.1
0.659,-4.4
0.66,-6.3
0.661,-7.5
0.662,-8
0.663,-7.8
0.664,-6.8
0.665,-5.2
0.666,-3.1
0.667,-1
0.668,0.9
0.669,2.3
0.67,3.1
0.671,3.5
0.672,3.5
0.673,3.1
0.674,2.3
0.675,1.3
0.676,0.4
0.677,0.1
0.678,0.7
0.679,2.2
0.68,4.2
0.681,6
0.682,7.5
0.683,8.6
0.684,9.6
0.685,10.7
0.686,11.8
0.687,12.8
0.688,13.1
0.689,12.7
0.69,11.7
0.691,10.6
0.692,9.9
0.693,9.7
0.694,9.7
0.695,9.6
0.696,8.9
0.697,7.7
0.698,6.2
0.699,4.5
0.7,2.7
0.701,0.6
0.702,-2.2
0.703,-5.5
0.704,-9.1
0.705,-12.3
0.706,-14.6
0.707,-15.6
0.708,-15.6
0.709,-14.9
0.71,-14.2
0.711,-14
0.712,-14.4
0.713,-15.3
0.714,-16.4
0.715,-17.2
0.716,-17.6
0.717,-17.7
0.718,-17.5
0.719,-17.3
0.72,-17.2
0.721,-17.3
0.722,-17.5
0.723,-17.5
0.724,-17.4
0.725,-17.1
0.726,-16.6
0.727,-16.2
0.728,-16
0.729,-16.1
0.73,-16.7
0.731,-17.6
0.732,-18.5
0.733,-19.2
0.734,-19.6
0.735,-19.5
0.736,-19.1
0.737,-18.8
0.738,-18.6
0.739,-18.6
0.74,-18.6
0.741,-18.2
0.742,-17.4
0.743,-16.2
0.744,-14.8
0.745,-13.5
0.746,-12.3
0.747,-11.3
0.748,-10.4
0.749,-9.4
0.75,-8.7
0.751,-8.3
0.752,-8.4
0.753,-8.8
0.754,-9.1
0.755,-9
0.756,-8.5
0.757,-7.7
0.758,-7.1
0.759,-7
0.76,-7.5
0.761,-8.3
0.762,-9.1
0.763,-9.5
0.764,-9.5
0.765,-9.3
0.766,-9
0.767,-8.7
0.768,-8.6
0.769,-8.5
0.77,-8.6
0.771,-8.9
0.772,-9.4
0.773,-10.1
0.774,-10.5
0.775,-10.4
0.776,-9.5
0.777,-8
0.778,-6.3
0.779,-4.9
0.78,-3.9
0.781,-3.4
0.782,-3.2
0.783,-2.9
0.784,-2.5
0.785,-2
0.786,-1.6
0.787,-1.7
0.788,-2.5
0.789,-3.7
0.79,-5.3
0.791,-6.9
0.792,-8
0.793,-8.6
0.794,-8.5
0.795,-7.9
0.796,-7.1
0.797,-6.5
0.798,-6.3
0.799,-6.6
0.8,-7.1
0.801,-7.6
0.802,-8
0.803,-8.3
0.804,-8.4
0.805,-8.5
0.806,-8.5
0.807,-8.3
0.808,-7.8
0.809,-7
0.81,-6.1
0.811,-5.2
0.812,-4.5
0.813,-3.8
0.814,-3.2
0.815,-2.7
0.816,-2.4
0.817,-2.4
0.818,-2.6
0.819,-2.9
0.82,-3.3
0.821,-3.5
0.822,-3.8
0.823,-4.2
0.824,-4.7
0.825,-5.4
0.826,-5.8
0.827,-5.8
0.828,-5.4
0.829,-4.8
0.83,-4.4
0.831,-4.6
0.832,-5.3
0.833,-6.2
0.834,-6.7
0.835,-6.5
0.836,-5.7
0.837,-4.8
0.838,-4.4
0.839,-5
0.84,-6.3
0.841,-7.7
0.842,-8.6
0.843,-8.4
0.844,-7.4
0.845,-6.3
0.846,-5.6
0.847,-5.7
0.848,-6.4
0.849,-7
0.85,-6.8
0.851,-5.6
0.852,-3.7
0.853,-1.9
0.854,-0.9
0.855,-0.9
0.856,-1.8
0.857,-2.8
0.858,-3.3
0.859,-2.9
0.86,-1.9
0.861,-0.8
0.862,-0.4
0.863,-1
0.864,-2.4
0.865,-4.1
0.866,-5.4
0.867,-5.8
0.868,-5.3
0.869,-4.3
0.87,-3.1
0.871,-2.3
0.872,-2
0.873,-2.1
0.874,-2.5
0.875,-3
0.876,-3.4
0.877,-3.6
0.878,-3.6
0.879,-3.4
0.88,-3.2
0.881,-3
0.882,-3
0.883,-3.3
0.884,-3.7
0.885,-3.9
0.886,-3.6
0.887,-2.6
0.888,-1.1
0.889,0.7
0.89,2.2
0.891,2.9
0.892,2.6
0.893,1.7
0.894,0.4
0.895,-0.8
0.896,-1.8
0.897,-2.7
0.898,-3.5
0.899,-4.3
0.9,-5.1
0.901,-5.4
0.902,-5.2
0.903,-4.6
0.904,-3.7
0.905,-3
0.906,-2.7
0.907,-2.9
0.908,-3.4
0.909,-3.9
0.91,-4.2
0.911,-4.5
0.912,-4.7
0.913,-4.8
0.914,-4.9
0.915,-4.8
0.916,-4.6
0.917,-4.4
0.918,-4.4
0.919,-4.7
0.92,-5.4
0.921,-6.3
0.922,-7
0.923,-7.6
0.924,-8
0.925,-8.3
0.926,-8.7
0.927,-9
0.928,-8.8
0.929,-7.8
0.93,-6
0.931,-3.6
0.932,-1.3
0.933,0.4
0.934,1
0.935,0.6
0.936,-0.3
0.937,-1
0.938,-1.3
0.939,-1.2
0.94,-1.2
0.941,-1.5
0.942,-2.2
0.943,-3
0.944,-3.3
0.945,-3.1
0.946,-2.2
0.947,-1.3
0.948,-0.8
0.949,-0.8
0.95,-1.2
0.951,-1.6
0.952,-1.7
0.953,-1.3
0.954,-0.8
0.955,-0.5
0.956,-0.5
0.957,-0.8
0.958,-1.1
0.959,-1.1
0.96,-1
0.961,-0.8
0.962,-0.7
0.963,-0.8
0.964,-0.7
0.965,-0.4
0.966,0.2
0.967,1.1
0.968,1.7
0.969,1.9
0.97,1.5
0.971,0.9
0.972,0.4
0.973,0.4
0.974,1.1
0.975,2.4
0.976,4
0.977,5.7
0.978,7.3
0.979,8.7
0.98,10
0.981,11.1
0.982,11.8
0.983,11.8
0.984,11
0.985,9.5
0.986,7.6
0.987,5.7
0.988,4.3
0.989,3.4
0.99,3.2
0.991,3.2
0.992,3.3
0.993,3
0.994,2.3
0.995,1.1
0.996,-0.3
0.997,-1.5
0.998,-2.5
0.999,-2.9
1,-2.8
1.001,-2.6
1.002,-2.2
1.003,-1.9
1.004,-1.6
1.005,-1
1.006,-0.2
1.007,0.8
1.008,1.7
1.009,2.3
1.01,2.4
1.011,1.9
1.012,1
1.013,-0.5
1.014,-2.2
1.015,-4
1.016,-5.5
1.017,-6.4
1.018,-6.2
1.019,-5.1
1.02,-3.4
1.021,-1.6
1.022,-0.3
1.023,0.1
1.024,-0.3
1.025,-1.3
1.026,-2.1
1.027,-2.3
1.028,-1.6
1.029,-0.4
1.03,1
1.031,1.9
1.032,2.1
1.033,1.8
1.034,1.2
1.035,0.5
1.036,-0.2
1.037,-1.2
1.038,-2.5
1.039,-3.8
1.04,-4.7
1.041,-4.7
1.042,-3.6
1.043,-1.9
1.044,-0.5
1.045,0.1
1.046,-0.4
1.047,-1.4
1.048,-2
1.049,-1.8
1.05,-0.5
1.051,1.3
1.052,2.9
1.053,3.7
1.054,3.7
1.055,3.1
1.056,2.5
1.057,2.3
1.058,2.7
1.059,3.6
1.06,4.8
1.061,5.9
1.062,6.6
1.063,6.7
1.064,6.1
1.065,5.1
1.066,4.1
1.067,3.6
1.068,3.7
1.069,4.3
1.07,5.1
1.071,5.7
1.072,5.9
1.073,5.8
1.074,5.7
1.075,5.8
1.076,6.1
1.077,6.5
1.078,6.8
1.079,7
1.08,7.3
1.081,7.9
1.082,9
1.083,10.5
1.084,11.8
1.085,12.5
1.086,12
1.087,10.6
1.088,8.6
1.089,6.7
1.09,5.4
1.091,5
1.092,5.2
1.093,5.7
1.094,6
1.095,6.1
1.096,6.1
1.097,6.1
1.098,6.2
1.099,6.4
1.1,6.6
1.101,6.7
1.102,6.7
1.103,6.7
1.104,6.9
1.105,7.3
1.106,7.9
1.107,8.9
1.108,10.6
1.109,13.4
1.11,17.6
1.111,22.9
1.112,28.2
1.113,32.4
1.114,34.201
1.115,33.101
1.116,29.7
1.117,25.1
1.118,20.6
1.119,16.8
1.12,13.6
1.121,10.5
1.122,6.7
1.123,1.9
1.124,-3.6
1.125,-8.9
1.126,-13.1
1.127,-15.6
1.128,-16.3
1.129,-15.4
1.13,-13.7
1.131,-11.7
1.132,-10
1.133,-8.7
1.134,-7.7
1.135,-7
1.136,-6.2
1.137,-5.4
1.138,-4.5
1.139,-4
1.14,-3.7
1.141,-3.7
1.142,-3.7
1.143,-3.6
1.144,-3.3
1.145,-2.7
1.146,-2
1.147,-1.3
1.148,-0.8
1.149,-0.6
1.15,-0.8
1.151,-1.3
1.152,-2
1.153,-2.7
1.154,-3.1
1.155,-3.1
1.156,-2.5
1.157,-1.4
1.158,0
1.159,1.6
1.16,3
1.161,4.1
1.162,4.7
1.163,4.6
1.164,3.9
1.165,2.8
1.166,1.7
1.167,0.8
1.168,0.4
1.169,0.5
1.17,0.7
1.171,0.9
1.172,0.9
1.173,0.7
1.174,0.4
1.175,0.2
1.176,0.3
1.177,0.6
1.178,0.9
1.179,0.8
1.18,0.2
1.181,-0.8
1.182,-1.9
1.183,-2.6
1.184,-2.6
1.185,-1.8
1.186,-0.5
1.187,0.8
1.188,1.7
1.189,2
1.19,1.7
1.191,1.1
1.192,0.6
1.193,0.4
1.194,0.5
1.195,0.8
1.196,0.9
1.197,0.5
1.198,-0.5
1.199,-2.1
1.2,-4
1.201,-5.9
1.202,-7.4
1.203,-8.2
1.204,-8.2
1.205,-7.6
1.206,-6.6
1.207,-5.3
1.208,-4.1
1.209,-3.4
1.21,-3.5
1.211,-4.4
1.212,-5.7
1.213,-6.8
1.214,-7
1.215,-6
1.216,-4.4
1.217,-2.8
1.218,-2.1
1.219,-2.6
1.22,-4.1
1.221,-5.9
1.222,-7.2
1.223,-7.6
1.224,-7.1
1.225,-6.2
1.226,-5.2
1.227,-4.3
1.228,-3.8
1.229,-3.5
1.23,-3.4
1.231,-3.5
1.232,-3.8
1.233,-4
1.234,-4.2
1.235,-4.3
1.236,-4.4
1.237,-4.5
1.238,-4.8
1.239,-5.3
1.24,-5.7
1.241,-6.1
1.242,-6.2
1.243,-6.2
1.244,-6.3
1.245,-6.5
1.246,-6.7
1.247,-6.8
1.248,-6.6
1.249,-6
1.25,-5.2
1.251,-4.5
1.252,-4
1.253,-3.7
1.254,-3.4
1.255,-2.8
1.256,-1.9
1.257,-0.8
1.258,0.1
1.259,0.7
1.26,0.8
1.261,0.6
1.262,0.5
1.263,0.4
1.264,0.4
1.265,0.4
1.266,0.1
1.267,-0.4
1.268,-1
1.269,-1.4
1.27,-1.5
1.271,-1.3
1.272,-0.9
1.273,-0.7
1.274,-0.8
1.275,-1.3
1.276,-2.1
1.277,-2.9
1.278,-3.4
1.279,-3.5
1.28,-3.1
1.281,-2.6
1.282,-2.2
1.283,-2.2
1.284,-2.5
1.285,-3
1.286,-3.3
1.287,-3.3
1.288,-3
1.289,-2.7
1.29,-2.5
1.291,-2.6
1.292,-2.7
1.293,-2.7
1.294,-2.6
1.295,-2.3
1.296,-2
1.297,-1.9
1.298,-1.9
1.299,-1.9
1.3,-1.9
1.301,-1.8
1.302,-1.7
1.303,-1.9
1.304,-2.4
1.305,-2.9
1.306,-3.2
1.307,-3.2
1.308,-3
1.309,-2.9
1.31,-3.1
1.311,-3.7
1.312,-4.6
1.313,-5.4
1.314,-5.8
1.315,-5.5
1.316,-4.5
1.317,-3.3
1.318,-1.9
1.319,-0.7
1.32,0.2
1.321,1
1.322,1.7
1.323,2.3
1.324,2.8
1.325,2.9
1.326,2.5
1.327,1.6
1.328,0.4
1.329,-0.8
1.33,-1.5
1.331,-1.6
1.332,-1.4
1.333,-1.2
1.334,-1.6
1.335,-2.6
1.336,-3.8
1.337,-4.8
1.338,-4.9
1.339,-4.1
1.34,-2.8
1.341,-1.5
1.342,-0.9
1.343,-1.2
1.344,-2
1.345,-2.8
1.346,-3.4
1.347,-3.5
1.348,-3.4
1.349,-3.5
1.35,-3.9
1.351,-4.8
1.352,-5.9
1.353,-6.8
1.354,-7.5
1.355,-7.7
1.356,-7.6
1.357,-7.3
1.358,-6.8
1.359,-6.2
1.36,-5.5
1.361,-4.8
1.362,-4.1
1.363,-3.7
1.364,-3.6
1.365,-3.7
1.366,-4
1.367,-4.1
1.368,-3.9
1.369,-3.6
1.37,-3.3
1.371,-3.1
1.372,-3.1
1.373,-3.1
1.374,-2.9
1.375,-2.4
1.376,-1.4
1.377,-0.4
1.378,0.3
1.379,0.4
1.38,-0.3
1.381,-1.6
1.382,-3.1
1.383,-4.5
1.384,-5.5
1.385,-6
1.386,-6.1
1.387,-6
1.388,-5.6
1.389,-5.2
1.39,-4.5
1.391,-3.6
1.392,-2.5
1.393,-1.5
1.394,-0.9
1.395,-0.8
1.396,-1.3
1.397,-2
1.398,-2.6
1.399,-2.9
1.4,-2.9
1.401,-2.6
1.402,-2.1
1.403,-1.6
1.404,-1
1.405,-0.3
1.406,0.2
1.407,0.5
1.408,0.5
1.409,0.3
1.41,0.1
1.411,0.1
1.412,0.3
1.413,0.6
1.414,1.1
1.415,1.7
1.416,2.6
1.417,4
1.418,5.8
1.419,7.8
1.42,9.9
1.421,11.9
1.422,13.6
1.423,15.2
1.424,16.7
1.425,18
1.426,18.6
1.427,18.4
1.428,17.4
1.429,15.8
1.43,14.1
1.431,12.9
1.432,12.3
1.433,11.9
1.434,11.6
1.435,10.8
1.436,9.6
1.437,8.1
1.438,6.2
1.439,4
1.44,1.4
1.441,-1.7
1.442,-5.3
1.443,-8.9
1.444,-12.1
1.445,-14.4
1.446,-15.6
1.447,-15.8
1.448,-15.5
1.449,-15.1
1.45,-15.1
1.451,-15.4
1.452,-16.1
1.453,-16.9
1.454,-17.7
1.455,-18.5
1.456,-19.4
1.457,-20.4
1.458,-21.4
1.459,-22.2
1.46,-22.6
1.461,-22.5
1.462,-21.9
1.463,-20.9
1.464,-19.7
1.465,-18.5
1.466,-17.1
1.467,-15.7
1.468,-14.3
1.469,-13
1.47,-12
1.471,-11.7
1.472,-11.9
1.473,-12.6
1.474,-13.2
1.475,-13.3
1.476,-12.5
1.477,-11
1.478,-9
1.479,-7.1
1.48,-5.8
1.481,-5
1.482,-4.6
1.483,-4.1
1.484,-3.1
1.485,-1.6
1.486,0.3
1.487,2
1.488,3.4
1.489,4.2
1.49,4.4
1.491,4.3
1.492,4
1.493,3.7
1.494,3.4
1.495,3.1
1.496,2.8
1.497,2.3
1.498,1.8
1.499,1.4
1.5,1.3
1.501,1.4
1.502,1.9
1.503,2.5
1.504,3.1
1.505,3.6
1.506,4.1
1.507,4.6
1.508,5.4
1.509,6.4
1.51,7.6
1.511,8.8
1.512,9.8
1.513,10.4
1.514,10.5
1.515,10.4
1.516,10.2
1.517,10
1.518,10
1.519,9.9
1.52,9.9
1.521,9.7
1.522,9.3
1.523,8.9
1.524,8.6
1.525,8.4
1.526,8.5
1.527,8.8
1.528,9.4
1.529,10.2
1.53,11.2
1.531,12.2
1.532,13.4
1.533,14.5
1.534,15.5
1.535,16.1
1.536,16.3
1.537,15.8
1.538,14.7
1.539,13.1
1.54,11.7
1.541,10.9
1.542,11
1.543,11.9
1.544,13.2
1.545,14
1.546,14
1.547,13.1
1.548,11.9
1.549,10.8
1.55,10.4
1.551,10.4
1.552,10.7
1.553,11
1.554,11
1.555,10.9
1.556,10.9
1.557,10.9
1.558,10.8
1.559,10.3
1.56,9.5
1.561,8.8
1.562,8.5
1.563,8.8
1.564,9.6
1.565,10.6
1.566,11.4
1.567,12.2
1.568,13.2
1.569,14.4
1.57,15.9
1.571,17.4
1.572,18.6
1.573,19.5
1.574,20.8
1.575,23.1
1.576,26.7
1.577,31
1.578,34.801
1.579,37.001
1.58,36.801
1.581,34.401
1.582,30.9
1.583,27.5
1.584,24.6
1.585,22.1
1.586,19.3
1.587,15.7
1.588,11.3
1.589,6.8
1.59,3.2
1.591,0.9
1.592,0
1.593,-0.1
1.594,0
1.595,0
1.596,0.1
1.597,0.6
1.598,1.8
1.599,3.6
1.6,5.4
1.601,6.7
1.602,7.2
1.603,6.9
1.604,6.1
1.605,5.4
1.606,4.9
1.607,4.5
1.608,4.4
1.609,4.6
1.61,5.3
1.611,6.5
1.612,7.9
1.613,8.9
1.614,9.1
1.615,8.4
1.616,7.2
1.617,6.3
1.618,6.1
1.619,6.6
1.62,7.5
1.621,8
1.622,7.8
1.623,7
1.624,6
1.625,5.4
1.626,5.2
1.627,5.4
1.628,5.4
1.629,5
1.63,4.2
1.631,3.5
1.632,3.2
1.633,3.3
1.634,3.6
1.635,3.7
1.636,3.5
1.637,2.9
1.638,2.4
1.639,2.3
1.64,2.8
1.641,3.7
1.642,4.6
1.643,5.2
1.644,5.2
